Palabra;Grupo;Entidad;Frecuencia;Porcentaje;Pareto;Polaridad;Negativa;Neutra;Positiva;Puntuacion;Critica;Molestia;Duda;Disgusto;Miedo;Alegria;Tristeza;Sorpresa;Confianza
pagos;PAGAR;;2949;0,21%;1;Neutra;0;1;0;0;no critico;7;9;7;0;0;0;0;0
realizar;REALIZAR;;2944;0,21%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
realice;REALIZAR;;2940;0,21%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
claro;CLARO;;2935;0,21%;1;Neutra;0;1;0;0;no critico;0;0;0;0;8;0;0;8
pasado;PASADO;;2842;0,20%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
caso;CASO;;2798;0,20%;1;Negativa;1;0;0;-3;no critico;0;8;7;0;0;0;0;0
chat;CHAT;;2773;0,20%;1;Neutra;0;1;0;0;no critico;0;0;9;0;0;0;0;0
consumo;CONSUMOS;;2751;0,20%;1;;;;;;;;;;;;;;
mismo;MISMO;;2739;0,20%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
cobrando;COBRAR;;2737;0,20%;1;;;;;;;;;;;;;;
recibo;RECIBO;;2720;0,20%;1;Neutra;0;1;0;1;no critico;0;0;0;0;0;0;0;0
solicite;SOLICITAR;;2646;0,19%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
junio;MES;;2601;0,19%;1;;;;;;;;;;;;;;
marzo;MARZO;;2595;0,19%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
opcion;OPCION;;2582;0,19%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
linea;LINEA;;2539;0,18%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
problema;PROBLEMA;;2530;0,18%;1;Negativa;1;0;0;-5;critico;10;8;9;0;0;7;0;0
hago;HACER;;2467;0,18%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
vez;VECES;;2382;0,17%;1;;;;;;;;;;;;;;
ver;VER;;2353;0,17%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
ser;SER;;2321;0,17%;1;;;;;;;;;;;;;;
verdad;VERDAD;;2286;0,16%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
cargo;CARGO;;2248;0,16%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
automatico;ATOMATICO;;2226;0,16%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
saldo;SALDO;;2202;0,16%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
informacion;INFORMAR;;2187;0,16%;1;Neutra;0;1;0;1;no critico;0;10;0;0;0;0;0;0
luego;LUEGO;;2176;0,16%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
bueno;BUENO;;2148;0,15%;1;Positiva;0;0;1;3;no critico;0;0;0;0;6;0;0;9
habia;HABIA;;2140;0,15%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
figura;FIGURAR;;2103;0,15%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
anular;ANULAR;;2102;0,15%;1;Negativa;1;0;0;-5;critico;10;0;9;0;0;9;0;0
dice;DECIR;;2100;0,15%;1;Neutra;0;1;0;0;no critico;0;6;0;0;0;0;0;0
van;IR;;2066;0,15%;1;;;;;;;;;;;;;;
internet;INTERNET;;2061;0,15%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
decir;DECIR;;2045;0,15%;1;Neutra;0;1;0;0;no critico;0;6;0;0;0;0;0;0
banco;BANCO;;2028;0,15%;1;Neutra;0;1;0;0;no critico;0;8;0;8;0;0;4;0
poder;PODRÍA;;2021;0,15%;1;Neutra;0;1;0;0;no critico;0;8;0;0;0;0;0;0
llego;LLEGAR;;1986;0,14%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
consumos;CONSUMOS;;1981;0,14%;1;;;;;;;;;;;;;;
prestamo;PRESTAMO;;1969;0,14%;1;;;;;;;;;;;;;;
manana;MANANA;;1969;0,14%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
reprogramar;REPROGRAMAR;;1953;0,14%;1;;;;;;;;;;;;;;
algun;ALGUN;;1934;0,14%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
horas;HORARIO;;1914;0,14%;1;Neutra;0;1;0;0;no critico;0;7;0;0;0;0;0;0
tenia;TENER;;1895;0,14%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
semana;SEMANA;;1888;0,14%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
pagado;PAGAR;;1861;0,13%;1;Neutra;0;1;0;0;no critico;7;9;7;0;0;0;0;0
comprar;COMPRAR;;1798;0,13%;1;Neutra;0;1;0;0;no critico;0;3;0;0;7;0;0;8
perfecto;PERFECTO;;1779;0,13%;1;Neutra;0;1;0;0;no critico;0;0;0;0;10;0;0;10
osea;OSEA;;1767;0,13%;1;;;;;;;;;;;;;;
pueden;PODRIA;;1760;0,13%;1;Neutra;0;1;0;0;no critico;0;8;0;0;0;0;0;0
telefono;TELEFONO;;1731;0,12%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
debito;DEBITO;;1724;0,12%;1;Negativa;1;0;0;-3;no critico;0;9;0;8;0;0;0;0
tener;TENER;;1714;0,12%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
celular;CELULAR;;1700;0,12%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
correcto;CORRECTO;;1699;0,12%;1;Positiva;0;0;1;3;no critico;0;0;0;0;7;0;0;8
puedes;PODRIA;;1694;0,12%;1;Neutra;0;1;0;0;no critico;0;8;0;0;0;0;0;0
uds;USTED;;1680;0,12%;1;;;;;;;;;;;;;;
vence;VENCER;;1679;0,12%;1;Neutra;0;1;0;0;no critico;8;10;9;0;0;0;0;0
igual;IGUAL;;1664;0,12%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
alguna;ALGUN;;1625;0,12%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
ningun;NINGUN;;1623;0,12%;1;Neutra;0;1;0;0;no critico;0;7;0;0;0;0;0;0
adicional;ADICIONAL;;1612;0,12%;1;Neutra;0;1;0;1;no critico;0;0;0;0;0;0;0;0
ahi;AHÍ;;1581;0,11%;1;;;;;;;;;;;;;;
hecho;HACER;;1580;0,11%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
realizado;REALIZAR;;1571;0,11%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
siempre;SIEMPRE;;1545;0,11%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
pagina;PAGAR;;1517;0,11%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
dinero;DINERO;;1509;0,11%;1;Neutra;0;1;0;1;no critico;0;9;0;0;0;0;0;0
despues;DESPUES;;1488;0,11%;1;Neutra;0;1;0;-1;no critico;0;0;0;0;0;0;0;0
aparece;APARECER;;1488;0,11%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
servicio;SERVICIO;;1467;0,11%;1;Neutra;0;1;0;0;no critico;0;9;0;0;0;0;0;0
sistema;SISTEMA;;1419;0,10%;1;Neutra;0;1;0;0;no critico;0;9;3;0;0;0;0;0
siguiente;SEGUIR;;1416;0,10%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
error;ERROR;;1414;0,10%;1;Negativa;1;0;0;-5;no critico;10;7;10;8;0;0;0;0
acabo;ACABO;;1411;0,10%;1;Neutra;0;1;0;0;no critico;3;2;3;0;0;4;0;0
usted;USTED;;1408;0,10%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
creo;CREER;;1408;0,10%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;6
facturacion;FACTURA;;1401;0,10%;1;;;;;;;;;;;;;;
tendria;TENER;;1381;0,10%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
bcp;MARCA;;1376;0,10%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
llamar;LLAMAR;;1371;0,10%;1;Neutra;0;1;0;0;no critico;0;7;0;0;0;0;0;7
cobrar;COBRAR;;1346;0,10%;1;Negativa;1;0;0;-3;no critico;8;0;7;0;0;0;5;0
acuerdo;ACUERDO;;1343;0,10%;1;Neutra;0;1;0;0;no critico;0;4;0;0;0;0;0;4
embargo;EMBARGO;;1335;0,10%;1;Negativa;1;0;0;-5;no critico;8;0;9;8;0;7;0;0
esperar;ESPERAR;;1328;0,10%;1;Negativa;1;0;0;-5;no critico;10;6;10;0;0;0;0;0
nunca;NUNCA;;1324;0,10%;1;Negativa;1;0;0;-5;no critico;8;7;8;7;0;0;0;0
