1,Palabra,Grupo,Entidad,Frecuencia,Porcentaje,Pareto,Polaridad,Negativa,Neutra,Positiva,Puntuacion,Critica,Molestia,Duda,Disgusto,Miedo,Alegria,Tristeza,Sorpresa,Confianza
5683,aus,otros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5684,ave,otros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5685,avia,otros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5686,awr,otros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5687,aym,otros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5688,aze,otros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5689,azg,otros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5690,baq,otros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5691,bbi,otros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5692,bbm,otros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5693,bch,otros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5694,bdh,otros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5695,bdj,otros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5696,bem,otros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5697,bfp,otros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5698,bjh,otros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5699,bjt,otros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5700,bju,otros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5701,blg,otros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5702,boy,otros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5703,capot,otros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5704,captiva,otros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5705,cin,otros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5706,circus,otros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5707,cmo,otros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5708,commscope,otros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5709,pagarle,pagar,,2559,0,1,Neutra,0,1,0,0,no critico,7,9,7,0,0,0,0,0
5710,palabra,palabra,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5711,papiloma,papiloma,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5712,parachoques,parachoque,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5713,pare,parar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5714,pasarle,pasar,,381,381,0,Neutra,0,1,0,0,no critico,0,0,0,0,0,0,0,0
5715,pasarlo,pasar,,381,381,0,Neutra,0,1,0,0,no critico,0,0,0,0,0,0,0,0
5716,pdt,pdt,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5717,pediran,pedir,,152,152,0,Neutra,0,1,0,0,no critico,0,0,0,0,0,0,0,0
5718,pedire,pedir,,152,152,0,Neutra,0,1,0,0,no critico,0,0,0,0,0,0,0,0
